shipment_id	transport_mode	recorded_date	recorded_time	temperature_celsius	humidity_percentage	vibration_level	spoilage_status	cargo_type	origin_location	destination_location	exposure_duration_hours	spoilage_risk_percent	remaining_shelf_life_days	pressure_kpa	door_open_count	salinity_ppt	thermal_leakage_score
TRK0201	Cold-Chain Road Truck	07/09/2025	13:00	5.1	79.8	6.3	At Risk	Dairy	Indore	Ahmedabad	33.7	34.5	5.5	0	5	0	0
AIR0947	Air Freight	07/11/2025	5:55	1.7	38.5	2.9	Fresh	Pharmaceuticals	Delhi Airport	Dubai Airport	24.9	9.5	29.2	93.8	0	0	0
TRK0067	Cold-Chain Road Truck	27/02/2025	8:30	3.1	49.5	3.9	Fresh	Pharmaceuticals	Pune	Chennai	54.3	20	26.3	0	7	0	0
RAIL0585	Intermodal Rail	27/02/2024	23:20	10.3	36	2.7	Fresh	Vegetables	Delhi	Bengaluru	132.9	10.9	9.8	0	0	0	1.3
RAIL0527	Intermodal Rail	01/03/2024	6:40	3.1	84.8	3.2	At Risk	Dairy	Guwahati	Jaipur	148.2	25.9	6.3	0	0	0	5
RAIL0938	Intermodal Rail	15/05/2025	7:15	4.3	74.5	3.2	Fresh	Flowers	Guwahati	Jaipur	133.7	18.3	5	0	0	0	4.6
AIR0683	Air Freight	03/09/2024	14:55	3.1	26.3	1	Fresh	Seafood	Delhi Airport	Hong Kong Airport	44.6	21.1	3.4	86.1	0	0	0
TRK0995	Cold-Chain Road Truck	23/02/2026	11:00	9.3	82.7	5.4	Spoiled	Seafood	Surat	Lucknow	55.9	55.5	2.7	0	10	0	0
TRK0294	Cold-Chain Road Truck	18/11/2025	19:35	2.4	87.7	5.5	At Risk	Seafood	Kolkata	Udaipur	34.3	35.5	3.1	0	5	0	0
AIR0082	Air Freight	30/07/2026	2:55	5.3	33.1	1	Fresh	Dairy	Mumbai Airport	Dubai Airport	29.9	12.3	6.6	96.9	0	0	0
TRK0146	Cold-Chain Road Truck	01/07/2026	18:40	2.4	86.1	3.1	At Risk	Meat	Delhi	Ahmedabad	3.1	25.5	5.1	0	1	0	0
AIR0475	Air Freight	26/08/2026	16:40	12.6	8	3.4	Fresh	Fruits	Chennai Airport	Amsterdam Airport	35.8	19.1	11	86.7	0	0	0
RAIL0090	Intermodal Rail	08/12/2024	7:35	1.7	63.6	2.1	Fresh	Flowers	Chennai	Bengaluru	122.3	19	5	0	0	0	6.1
AIR0090	Air Freight	09/12/2025	8:00	4.7	14	3.3	Fresh	Dairy	Bengaluru Airport	Frankfurt Airport	47.6	15.5	6.2	89.6	0	0	0
SEA0977	Sea Freight	26/08/2025	9:05	3.8	92.7	1.7	Fresh	Vegetables	Mundra Port	Rotterdam Port	453.7	11.1	9.1	0	0	35.6	0
SEA0956	Sea Freight	25/02/2025	21:20	6.8	94.5	0.9	Fresh	Vegetables	Kolkata Port	Dubai Port	518	23.8	8.4	0	0	40	0
AIR0377	Air Freight	07/12/2025	17:20	-2.5	33.3	3.9	Fresh	Flowers	Bengaluru Airport	Doha Airport	47.9	21.3	4.3	86.9	0	0	0
RAIL0311	Intermodal Rail	11/06/2026	10:10	1.3	31.8	3.3	Fresh	Meat	Mumbai	Jammu	128.4	6.7	6	0	0	0	3.5
TRK0240	Cold-Chain Road Truck	10/07/2024	7:45	8.2	88.4	3.3	At Risk	Vegetables	Kolkata	Chennai	5.4	26.3	8.3	0	1	0	0
SEA0328	Sea Freight	23/02/2024	15:55	0.9	86.2	2.1	Fresh	Seafood	Mumbai Port	Hamburg Port	476.9	23	3.4	0	0	33.7	0
SEA0997	Sea Freight	12/08/2024	10:00	1.8	93.8	2.1	At Risk	Flowers	Cochin Port	Shanghai Port	572.4	27.6	4.3	0	0	39.1	0
RAIL0172	Intermodal Rail	03/05/2025	17:40	10.8	73.5	3.7	At Risk	Vegetables	Kolkata	Guwahati	133.5	26.9	8.3	0	0	0	8
TRK0700	Cold-Chain Road Truck	05/08/2024	13:00	13.4	76.8	4.9	At Risk	Seafood	Pune	Hyderabad	47.2	50	2.5	0	9	0	0
AIR0434	Air Freight	03/03/2024	9:15	-2.7	25.6	3.4	Fresh	Pharmaceuticals	Hyderabad Airport	Dubai Airport	28.6	10.3	28.2	84.2	0	0	0
RAIL0475	Intermodal Rail	26/08/2025	6:00	8.2	43	1.8	Fresh	Fruits	Delhi	Guwahati	160.9	16.6	10.3	0	0	0	6.1
SEA0381	Sea Freight	02/04/2026	20:50	6	96.1	1.7	Fresh	Pharmaceuticals	Mumbai Port	Singapore Port	627.5	19.7	26.4	0	0	31.4	0
RAIL0077	Intermodal Rail	15/07/2024	20:25	5.8	50.7	2.5	Fresh	Pharmaceuticals	Ahmedabad	Guwahati	120.5	14.5	27.6	0	0	0	4.9
SEA0239	Sea Freight	20/03/2024	8:05	5.2	78.2	0.5	Fresh	Pharmaceuticals	Kandla Port	Felixstowe Port	576.5	10.9	27.8	0	0	28.6	0
SEA0677	Sea Freight	31/01/2025	12:30	4.3	77.7	1.4	Fresh	Vegetables	Vizag Port	Felixstowe Port	572.2	13	8.5	0	0	26.4	0
SEA0057	Sea Freight	15/02/2024	11:35	1.4	99	1.6	Fresh	Seafood	Vizag Port	Shanghai Port	494.9	22.5	3.8	0	0	32.1	0
TRK0105	Cold-Chain Road Truck	17/03/2026	16:00	5.9	72.9	2.9	Fresh	Meat	Hyderabad	Pune	14.6	20.2	5.1	0	2	0	0
AIR0360	Air Freight	22/10/2024	1:35	5.8	18.8	0.9	Fresh	Dairy	Delhi Airport	Doha Airport	39.5	21	5.6	90.1	0	0	0
SEA0627	Sea Freight	16/04/2024	13:35	4.9	80.4	2.5	Fresh	Dairy	Kolkata Port	Colombo Port	622.3	22.4	5.9	0	0	33.7	0
RAIL0373	Intermodal Rail	21/10/2024	11:35	6.2	69.9	1.3	Fresh	Vegetables	Guwahati	Jaipur	161.9	18.7	8.9	0	0	0	4.6
TRK0325	Cold-Chain Road Truck	04/05/2026	12:30	2.9	74.1	6.3	At Risk	Dairy	Bhopal	Pune	52.8	39	5.3	0	7	0	0
SEA0958	Sea Freight	05/03/2025	15:15	0	83.6	2.1	Fresh	Meat	Cochin Port	Hamburg Port	644.3	19.6	5.5	0	0	29.1	0
TRK0525	Cold-Chain Road Truck	30/06/2026	0:00	2.2	83.9	8	At Risk	Pharmaceuticals	Pune	Mumbai	70.4	33.1	23.8	0	10	0	0
AIR0349	Air Freight	07/04/2024	11:15	-11.9	25.3	1.3	Fresh	Meat	Chennai Airport	Amsterdam Airport	25	17.5	6	100.4	0	0	0
AIR0665	Air Freight	07/04/2025	9:20	3	8	0.2	Fresh	Seafood	Bengaluru Airport	Frankfurt Airport	33.7	15.1	3.5	84.4	0	0	0
AIR0527	Air Freight	25/07/2024	16:40	8.3	34.2	1	At Risk	Flowers	Chennai Airport	London Heathrow Airport	31.9	26.3	4.6	76.5	0	0	0
SEA0651	Sea Freight	03/04/2024	5:00	4.3	92.5	0.7	At Risk	Dairy	Kandla Port	Colombo Port	608.8	25	6	0	0	30	0
RAIL0943	Intermodal Rail	28/05/2024	23:15	6.4	31.7	1.9	Fresh	Vegetables	Kolkata	Chennai	144.7	8.3	9.5	0	0	0	4.7
RAIL0946	Intermodal Rail	11/04/2026	11:10	4.1	59.1	1.9	Fresh	Pharmaceuticals	Mumbai	Jammu	157.2	13.6	27.6	0	0	0	3.2
TRK0531	Cold-Chain Road Truck	11/04/2026	19:40	6.6	69.1	4.2	Fresh	Meat	Kolkata	Ahmedabad	10.9	20.2	5	0	2	0	0
TRK0440	Cold-Chain Road Truck	22/05/2025	21:45	14.8	26	5.5	At Risk	Pharmaceuticals	Jaipur	Bengaluru	55.7	29.1	24.2	0	9	0	0
AIR0073	Air Freight	18/06/2026	15:00	-3.1	25.9	0.4	Fresh	Meat	Delhi Airport	Doha Airport	28.3	12.9	5.4	91.5	0	0	0
SEA0145	Sea Freight	26/09/2024	3:20	0.1	94.5	2.7	Fresh	Seafood	Mundra Port	Shanghai Port	528.3	17.9	3.9	0	0	33.4	0
TRK0951	Cold-Chain Road Truck	23/09/2025	7:20	11.8	74.5	5.9	At Risk	Dairy	Ahmedabad	Lucknow	67.2	53.8	4.8	0	9	0	0
AIR0283	Air Freight	23/06/2026	11:10	3.2	24.6	0.9	Fresh	Seafood	Bengaluru Airport	Doha Airport	28.4	17.4	3.6	86.6	0	0	0
SEA0268	Sea Freight	31/07/2024	15:05	4.3	93.7	1.9	At Risk	Meat	Vizag Port	Los Angeles Port	583.5	26.5	5.4	0	0	27.9	0
AIR0968	Air Freight	30/06/2024	19:45	-7.9	27.9	1.4	Spoiled	Seafood	Chennai Airport	Frankfurt Airport	47.9	96.9	2	80.1	0	0	0
TRK0478	Cold-Chain Road Truck	17/10/2024	19:00	5.9	67.8	4.1	At Risk	Meat	Bhopal	Lucknow	32.4	25.9	4.9	0	5	0	0
SEA0983	Sea Freight	24/11/2025	19:15	3.2	97.8	1.7	At Risk	Flowers	Chennai Port	Rotterdam Port	436.8	25.8	4.7	0	0	34.7	0
SEA0067	Sea Freight	20/05/2025	17:25	2.1	96.4	1.2	Fresh	Seafood	Vizag Port	Colombo Port	457.7	23.4	2.9	0	0	31.4	0
TRK0506	Cold-Chain Road Truck	11/08/2024	17:55	15.5	94.3	3.5	At Risk	Dairy	Chennai	Jaipur	14.7	38.6	4.5	0	3	0	0
SEA0686	Sea Freight	31/03/2024	15:40	8.3	87.8	2.3	Fresh	Pharmaceuticals	Cochin Port	Jebel Ali Port	368.5	11.9	28	0	0	28.9	0
RAIL0816	Intermodal Rail	04/05/2026	14:25	7.1	82	3.5	Fresh	Pharmaceuticals	Guwahati	Bengaluru	158	17	26.6	0	0	0	6
AIR0390	Air Freight	02/11/2024	8:15	9.8	21.6	1.3	Fresh	Fruits	Chennai Airport	Singapore Airport	38.8	18	11	81.3	0	0	0
SEA0294	Sea Freight	12/08/2026	14:45	9.9	78.6	0.9	Fresh	Fruits	Kandla Port	Hamburg Port	553.6	24.4	10	0	0	35.4	0
TRK0230	Cold-Chain Road Truck	25/12/2025	23:45	7.2	91.7	7.2	At Risk	Vegetables	Hyderabad	Udaipur	69.7	54.2	6.6	0	11	0	0
RAIL0681	Intermodal Rail	01/03/2025	10:45	4.5	47.4	4.3	Fresh	Flowers	Kolkata	Kochi	143.1	13.5	4.7	0	0	0	4.3
TRK0078	Cold-Chain Road Truck	01/11/2025	21:30	22.1	89.7	2.1	At Risk	Fruits	Lucknow	Delhi	10.6	28	9.4	0	1	0	0
RAIL0820	Intermodal Rail	06/02/2025	4:40	9.7	84	2.7	Fresh	Fruits	Guwahati	Chennai	145.5	15.4	11.2	0	0	0	3.1
RAIL0730	Intermodal Rail	28/05/2025	7:40	7	84.6	1.7	Fresh	Flowers	Guwahati	Kochi	153.9	19.6	4.4	0	0	0	2.2
RAIL0878	Intermodal Rail	02/08/2026	7:50	1.1	46.9	4.1	Fresh	Meat	Ahmedabad	Bengaluru	133.2	15.2	5.6	0	0	0	4.7
AIR0658	Air Freight	13/07/2025	15:05	12.1	24	0.8	Fresh	Fruits	Hyderabad Airport	Doha Airport	40.9	21.3	10.2	81.9	0	0	0
AIR0413	Air Freight	26/01/2026	17:40	3.2	32.5	0.5	At Risk	Vegetables	Hyderabad Airport	London Heathrow Airport	46.8	26	8.5	79	0	0	0
SEA0666	Sea Freight	18/03/2025	10:50	10.7	99	1.6	Spoiled	Meat	Mumbai Port	Felixstowe Port	508.2	95.4	2.2	0	0	26.3	0
SEA0716	Sea Freight	02/03/2024	21:30	4.3	98.1	2.1	Spoiled	Seafood	Cochin Port	Rotterdam Port	710.2	84.7	2.1	0	0	34.4	0
TRK0434	Cold-Chain Road Truck	07/01/2024	17:20	1.8	59.3	3.2	Fresh	Pharmaceuticals	Bhopal	Nashik	27.7	14.3	27.3	0	3	0	0
TRK0339	Cold-Chain Road Truck	29/08/2026	17:10	1.5	72.8	4.3	At Risk	Meat	Surat	Kolkata	44.4	33.3	4.7	0	7	0	0
SEA0664	Sea Freight	20/02/2025	19:25	7.5	99	2.4	At Risk	Flowers	Vizag Port	Hamburg Port	548.9	32.5	4.2	0	0	33.6	0
SEA0004	Sea Freight	16/12/2024	5:15	3.5	98.4	1	Fresh	Vegetables	Cochin Port	Felixstowe Port	639.1	22.3	8.9	0	0	31.6	0
AIR0074	Air Freight	19/06/2026	12:30	8.5	25.9	0.2	Fresh	Pharmaceuticals	Delhi Airport	Hong Kong Airport	39.6	13.9	27.7	95.9	0	0	0
RAIL0995	Intermodal Rail	18/02/2026	5:25	3.7	63.2	3.8	Fresh	Vegetables	Delhi	Nagpur	139.4	9.9	10	0	0	0	1.8
SEA0718	Sea Freight	09/09/2025	2:45	3.2	99	1.1	Fresh	Seafood	Kolkata Port	Singapore Port	516.8	23.4	3.4	0	0	34.4	0
RAIL0269	Intermodal Rail	21/03/2026	11:10	3.6	85.9	2.7	Fresh	Dairy	Mumbai	Kochi	162.8	22.2	5.8	0	0	0	4.5
TRK0314	Cold-Chain Road Truck	21/01/2025	17:55	4.8	97.6	3.3	At Risk	Seafood	Delhi	Nashik	8.6	31	3.1	0	1	0	0
TRK0502	Cold-Chain Road Truck	29/11/2025	22:35	-0.1	62.7	3.3	At Risk	Meat	Surat	Hyderabad	45.7	29.3	4.9	0	7	0	0
RAIL0818	Intermodal Rail	17/06/2025	16:40	4.9	57.9	2.4	Fresh	Dairy	Chennai	Kochi	134	12.3	6.4	0	0	0	4.7
TRK0155	Cold-Chain Road Truck	21/02/2024	2:40	17.4	36.2	6.4	At Risk	Pharmaceuticals	Udaipur	Chennai	59.5	35.8	22.8	0	8	0	0
SEA0563	Sea Freight	19/01/2025	3:55	1.4	83.4	2.3	Fresh	Meat	Cochin Port	Colombo Port	409.6	12	5.4	0	0	34.7	0
RAIL0495	Intermodal Rail	24/03/2024	16:20	2.3	49.5	3	Fresh	Dairy	Kolkata	Chennai	127.7	5.6	6.6	0	0	0	2.6
AIR0955	Air Freight	15/02/2025	8:45	4.2	32.4	1.4	Fresh	Fruits	Delhi Airport	Doha Airport	38.4	16.9	11	96	0	0	0
AIR0083	Air Freight	22/12/2025	6:45	-5.2	33.1	0.5	Fresh	Pharmaceuticals	Mumbai Airport	Frankfurt Airport	32.8	12.8	28.2	84	0	0	0
SEA0182	Sea Freight	29/04/2024	2:35	5.4	99	1.8	At Risk	Flowers	Vizag Port	Felixstowe Port	706.7	32.9	4.2	0	0	29.6	0
AIR0346	Air Freight	19/07/2024	19:50	1.8	36	0.6	Fresh	Dairy	Hyderabad Airport	Frankfurt Airport	33	16.2	6.2	73.6	0	0	0
TRK0954	Cold-Chain Road Truck	04/07/2026	20:25	4.5	84.8	1.7	Fresh	Seafood	Lucknow	Bhopal	8.4	21.3	3.4	0	2	0	0
RAIL0872	Intermodal Rail	16/01/2026	20:05	5.9	65.9	3.4	Fresh	Fruits	Chennai	Guwahati	143.7	20.7	10.9	0	0	0	8.2
RAIL0302	Intermodal Rail	29/03/2025	8:10	14.2	69.7	3	Fresh	Fruits	Mumbai	Nagpur	150.2	22.8	9.9	0	0	0	7.9
RAIL0787	Intermodal Rail	14/02/2026	4:40	1.4	59.2	3.3	Fresh	Meat	Ahmedabad	Jaipur	134.8	11.9	5.8	0	0	0	4.7
SEA0486	Sea Freight	26/12/2024	10:55	3.7	86.5	0.7	Fresh	Pharmaceuticals	Vizag Port	Shanghai Port	409.1	11.6	28	0	0	38.1	0
RAIL0249	Intermodal Rail	01/07/2026	10:35	3.2	59.5	2.6	Fresh	Meat	Guwahati	Bengaluru	164.1	19.5	5.2	0	0	0	5.3
AIR0314	Air Freight	07/02/2024	11:25	4	16.5	1	Fresh	Vegetables	Hyderabad Airport	London Heathrow Airport	26.5	6	9.8	91.9	0	0	0
RAIL0082	Intermodal Rail	16/03/2025	10:55	5.9	64.7	1.9	Fresh	Flowers	Mumbai	Nagpur	129.6	18.7	4.7	0	0	0	3
RAIL0367	Intermodal Rail	26/01/2025	9:25	3.9	62.5	3.4	Fresh	Pharmaceuticals	Guwahati	Bengaluru	155.3	8.6	28.5	0	0	0	3.1
AIR0484	Air Freight	10/05/2025	1:55	4.2	16	0.3	Fresh	Flowers	Bengaluru Airport	Hong Kong Airport	34.3	14.4	4.5	91.7	0	0	0
AIR0790	Air Freight	26/02/2025	6:30	7.1	31.4	0.4	Fresh	Flowers	Bengaluru Airport	Frankfurt Airport	25.7	17.4	4.7	89.7	0	0	0
RAIL0395	Intermodal Rail	23/01/2024	10:55	0.8	63.5	2.2	At Risk	Flowers	Kolkata	Guwahati	156.8	28.3	4.5	0	0	0	8.3
SEA0561	Sea Freight	30/08/2024	0:45	4.4	99	1.3	Fresh	Pharmaceuticals	Cochin Port	Hamburg Port	565.6	16.3	26.9	0	0	37.5	0
AIR0053	Air Freight	25/04/2026	2:45	-4.4	24.7	0.1	Spoiled	Seafood	Hyderabad Airport	Doha Airport	42	93.2	2.3	78.3	0	0	0
