shipment_id,transport_mode,recorded_date,recorded_time,temperature_celsius,humidity_percentage,vibration_level,spoilage_status,cargo_type,origin_location,destination_location,exposure_duration_hours,spoilage_risk_percent,remaining_shelf_life_days,pressure_kpa,door_open_count,salinity_ppt,thermal_leakage_score
SEA0268,Sea Freight,2024-07-31,15:05,4.3,93.7,1.9,At Risk,Meat,Vizag Port,Los Angeles Port,583.5,26.5,5.4,0.0,0,27.9,0.0
SEA0736,Sea Freight,2025-08-13,20:20,7.0,96.9,1.8,Fresh,Dairy,Mumbai Port,Singapore Port,551.8,31.0,5.7,0.0,0,34.6,0.0
SEA0816,Sea Freight,2026-02-14,19:20,5.0,93.4,2.2,At Risk,Seafood,Cochin Port,Hamburg Port,605.6,29.8,3.4,0.0,0,34.9,0.0
SEA0891,Sea Freight,2025-11-10,13:25,13.8,84.7,2.6,At Risk,Pharmaceuticals,Mumbai Port,Rotterdam Port,613.7,27.7,10.1,0.0,0,32.8,0.0
SEA0938,Sea Freight,2025-09-04,09:15,3.3,75.5,1.7,Fresh,Dairy,Mumbai Port,Los Angeles Port,673.9,22.1,5.8,0.0,0,34.2,0.0
SEA0193,Sea Freight,2024-09-06,21:50,16.4,89.4,0.8,At Risk,Vegetables,Kandla Port,Rotterdam Port,670.1,31.4,8.2,0.0,0,32.5,0.0
SEA0954,Sea Freight,2026-01-05,11:15,8.3,96.4,1.2,Fresh,Pharmaceuticals,Kandla Port,Shanghai Port,404.3,16.4,27.4,0.0,0,28.8,0.0
SEA0515,Sea Freight,2024-04-10,01:55,7.9,81.4,0.7,Fresh,Pharmaceuticals,Vizag Port,Singapore Port,624.4,23.5,25.3,0.0,0,39.7,0.0
SEA0369,Sea Freight,2024-07-14,08:40,1.3,93.6,2.8,At Risk,Meat,Mumbai Port,Colombo Port,648.8,29.4,5.1,0.0,0,32.8,0.0
SEA0035,Sea Freight,2026-05-04,20:15,8.7,99.0,1.7,Fresh,Pharmaceuticals,Chennai Port,Colombo Port,581.1,16.8,26.8,0.0,0,29.4,0.0
SEA0317,Sea Freight,2025-12-08,22:10,4.2,94.4,1.9,At Risk,Meat,Cochin Port,Dubai Port,546.6,27.9,4.7,0.0,0,33.2,0.0
SEA0624,Sea Freight,2025-11-21,04:20,14.3,76.1,1.1,Fresh,Pharmaceuticals,Cochin Port,Jebel Ali Port,520.7,19.6,26.3,0.0,0,30.6,0.0
SEA0573,Sea Freight,2025-03-10,18:30,11.7,86.8,1.6,At Risk,Seafood,Mundra Port,Los Angeles Port,376.9,29.2,3.3,0.0,0,34.9,0.0
SEA0826,Sea Freight,2025-08-27,17:25,1.8,91.7,1.6,Fresh,Pharmaceuticals,Kolkata Port,Shanghai Port,648.8,16.5,27.6,0.0,0,34.3,0.0
SEA0381,Sea Freight,2026-02-04,20:50,6.0,96.1,1.7,Fresh,Pharmaceuticals,Mumbai Port,Singapore Port,627.5,19.7,26.4,0.0,0,31.4,0.0
SEA0200,Sea Freight,2025-04-05,16:25,4.5,88.9,2.8,Fresh,Seafood,Chennai Port,Los Angeles Port,362.3,21.2,3.7,0.0,0,33.2,0.0
SEA0405,Sea Freight,2024-08-17,17:50,14.5,86.6,1.6,Fresh,Pharmaceuticals,Kandla Port,Rotterdam Port,436.0,19.4,26.0,0.0,0,36.9,0.0
SEA0269,Sea Freight,2026-02-24,08:45,3.8,88.8,1.6,Fresh,Pharmaceuticals,Kandla Port,Los Angeles Port,410.4,9.2,28.2,0.0,0,36.4,0.0
SEA0155,Sea Freight,2025-10-20,23:35,5.9,99.0,2.2,Fresh,Pharmaceuticals,Chennai Port,Shanghai Port,403.7,16.1,27.2,0.0,0,25.8,0.0
SEA0741,Sea Freight,2024-01-13,13:15,6.2,87.4,1.8,Fresh,Vegetables,Kolkata Port,Rotterdam Port,463.7,17.4,8.7,0.0,0,30.8,0.0
SEA0795,Sea Freight,2025-10-08,20:50,4.8,87.7,2.2,Fresh,Dairy,Kandla Port,Jebel Ali Port,483.2,24.4,5.9,0.0,0,36.3,0.0
SEA0118,Sea Freight,2025-12-27,23:30,7.1,80.5,1.8,Fresh,Vegetables,Kolkata Port,Los Angeles Port,571.3,24.7,8.4,0.0,0,33.2,0.0
SEA0078,Sea Freight,2026-08-06,19:45,10.1,87.1,1.9,Fresh,Pharmaceuticals,Kolkata Port,Shanghai Port,507.7,13.9,27.5,0.0,0,32.2,0.0
SEA0906,Sea Freight,2025-11-13,11:25,0.1,86.8,1.1,Fresh,Meat,Kolkata Port,Los Angeles Port,394.5,8.1,5.3,0.0,0,30.7,0.0
SEA0710,Sea Freight,2024-09-23,04:50,3.7,73.8,2.0,Fresh,Seafood,Vizag Port,Rotterdam Port,363.5,15.0,3.9,0.0,0,30.0,0.0
SEA0636,Sea Freight,2024-06-20,14:25,5.4,78.4,0.2,Fresh,Pharmaceuticals,Chennai Port,Los Angeles Port,500.6,11.4,28.2,0.0,0,31.5,0.0
SEA0879,Sea Freight,2024-02-09,12:25,6.7,79.8,1.9,Fresh,Dairy,Kandla Port,Dubai Port,458.6,18.3,6.5,0.0,0,36.6,0.0
SEA1004,Sea Freight,2024-06-20,14:25,5.4,78.4,0.2,Fresh,Pharmaceuticals,Chennai Port,Los Angeles Port,500.6,11.4,28.2,0.0,0,31.5,0.0
SEA0240,Sea Freight,2025-03-15,05:40,4.2,95.8,1.3,At Risk,Meat,Mundra Port,Hamburg Port,551.7,30.4,4.2,0.0,0,38.5,0.0
SEA0743,Sea Freight,2026-05-06,23:15,4.6,86.6,1.3,Fresh,Meat,Mumbai Port,Dubai Port,533.1,19.6,4.6,0.0,0,29.5,0.0
SEA0011,Sea Freight,2024-07-02,18:10,10.1,81.1,1.4,Fresh,Fruits,Mundra Port,Felixstowe Port,410.5,17.4,11.3,0.0,0,31.9,0.0
SEA0283,Sea Freight,2026-07-22,19:50,5.6,88.6,1.0,Fresh,Pharmaceuticals,Cochin Port,Felixstowe Port,524.2,10.7,28.2,0.0,0,29.8,0.0
SEA0032,Sea Freight,2025-12-09,18:00,6.8,95.4,2.4,At Risk,Dairy,Cochin Port,Singapore Port,398.6,25.4,6.2,0.0,0,36.4,0.0
SEA0909,Sea Freight,2026-04-13,09:35,3.9,90.7,1.6,At Risk,Meat,Mundra Port,Shanghai Port,562.4,30.1,4.6,0.0,0,34.6,0.0
SEA0787,Sea Freight,2025-05-23,19:50,5.5,88.5,0.4,At Risk,Dairy,Chennai Port,Felixstowe Port,574.6,25.6,6.0,0.0,0,32.4,0.0
SEA0274,Sea Freight,2025-09-08,20:55,2.3,99.0,1.8,Fresh,Meat,Chennai Port,Jebel Ali Port,460.7,22.1,5.2,0.0,0,30.9,0.0
SEA0090,Sea Freight,2026-02-01,12:15,8.4,82.4,2.4,Fresh,Pharmaceuticals,Mumbai Port,Hamburg Port,392.0,9.4,28.7,0.0,0,32.7,0.0
SEA0555,Sea Freight,2024-01-05,01:30,1.7,86.7,1.7,Fresh,Dairy,Vizag Port,Los Angeles Port,581.2,22.4,5.5,0.0,0,32.9,0.0
SEA0358,Sea Freight,2025-01-26,04:55,1.8,93.1,1.1,Fresh,Pharmaceuticals,Kolkata Port,Felixstowe Port,416.7,16.6,5.6,0.0,0,36.9,0.0
SEA0440,Sea Freight,2024-03-21,07:10,2.7,99.0,1.1,At Risk,Dairy,Mundra Port,Rotterdam Port,660.8,29.8,5.7,0.0,0,34.2,0.0
SEA0509,Sea Freight,2026-12-02,02:50,6.3,93.0,1.6,At Risk,Dairy,Kolkata Port,Rotterdam Port,600.7,31.0,5.7,0.0,0,40.0,0.0
SEA0335,Sea Freight,2024-10-04,07:20,7.6,88.7,1.7,At Risk,Meat,Cochin Port,Jebel Ali Port,660.6,34.3,4.5,0.0,0,28.9,0.0
SEA0899,Sea Freight,2025-11-06,01:35,4.8,85.5,1.4,Fresh,Pharmaceuticals,Kolkata Port,Colombo Port,645.0,16.4,27.2,0.0,0,31.0,0.0
SEA0827,Sea Freight,2024-02-22,16:50,6.1,77.9,1.8,At Risk,Flowers,Chennai Port,Dubai Port,635.2,25.8,4.8,0.0,0,36.3,0.0
SEA0082,Sea Freight,2025-08-18,15:20,10.7,90.7,0.8,At Risk,Vegetables,Chennai Port,Rotterdam Port,441.1,25.1,9.0,0.0,0,36.3,0.0
SEA0583,Sea Freight,2024-02-24,19:00,3.3,96.1,2.8,Fresh,Seafood,Kolkata Port,Colombo Port,505.4,22.1,3.5,0.0,0,26.4,0.0
SEA0237,Sea Freight,2026-05-30,04:40,10.8,81.7,2.3,At Risk,Vegetables,Vizag Port,Shanghai Port,713.3,27.1,8.3,0.0,0,35.1,0.0
SEA0716,Sea Freight,2024-02-03,21:30,4.3,98.1,2.1,Spoiled,Seafood,Cochin Port,Rotterdam Port,710.2,84.7,2.1,0.0,0,34.4,0.0
SEA0128,Sea Freight,2025-02-16,03:50,2.7,95.8,1.4,Spoiled,Meat,Cochin Port,Jebel Ali Port,705.6,83.5,2.8,0.0,0,29.6,0.0
SEA0733,Sea Freight,2026-06-26,14:20,-0.1,83.8,6.0,Fresh,Seafood,Mundra Port,Jebel Ali Port,408.8,15.7,3.0,0.0,0,32.6,0.0
SEA0432,Sea Freight,2024-09-06,12:00,10.4,80.9,1.3,Fresh,Fruits,Mundra Port,Hamburg Port,400.6,14.7,10.7,0.0,0,31.1,0.0
SEA0664,Sea Freight,2025-02-20,19:25,7.5,99.0,2.4,At Risk,Flowers,Vizag Port,Hamburg Port,548.9,32.5,4.2,0.0,0,33.6,0.0
SEA0104,Sea Freight,2026-03-06,01:30,1.8,80.4,0.5,Fresh,Seafood,Kandla Port,Rotterdam Port,470.2,12.7,4.0,0.0,0,30.4,0.0
SEA0559,Sea Freight,2026-11-02,19:50,4.9,89.0,1.4,Fresh,Vegetables,Mundra Port,Shanghai Port,374.1,9.6,9.6,0.0,0,30.5,0.0
SEA0829,Sea Freight,2025-11-12,08:45,13.5,88.4,1.7,Fresh,Fruits,Vizag Port,Singapore Port,398.8,24.0,10.2,0.0,0,35.7,0.0
SEA0083,Sea Freight,2025-12-15,15:45,15.5,88.0,1.7,Fresh,Fruits,Mundra Port,Los Angeles Port,361.4,19.9,10.3,0.0,0,33.1,0.0
SEA0312,Sea Freight,2025-04-14,04:45,8.9,89.3,1.2,Fresh,Pharmaceuticals,Kolkata Port,Shanghai Port,454.2,15.5,26.9,0.0,0,34.5,0.0
SEA0355,Sea Freight,2025-01-19,18:20,2.5,92.6,1.4,Fresh,Pharmaceuticals,Mundra Port,Hamburg Port,392.5,6.8,29.3,0.0,0,38.7,0.0
SEA0145,Sea Freight,2024-09-26,03:20,0.1,94.5,2.7,Fresh,Seafood,Mundra Port,Shanghai Port,528.3,17.9,3.9,0.0,0,33.4,0.0
SEA0968,Sea Freight,2026-02-01,19:50,2.2,89.9,1.4,Fresh,Flowers,Mundra Port,Rotterdam Port,516.2,22.0,4.3,0.0,0,36.2,0.0
SEA0977,Sea Freight,2025-08-26,09:05,3.8,92.7,1.7,Fresh,Vegetables,Mundra Port,Rotterdam Port,453.7,11.1,9.1,0.0,0,35.6,0.0
SEA0820,Sea Freight,2025-02-15,07:15,1.0,86.2,0.7,Fresh,Meat,Cochin Port,Hamburg Port,699.0,24.9,5.0,0.0,0,27.1,0.0
SEA1003,Sea Freight,2025-02-15,07:15,1.0,86.2,0.7,Fresh,Meat,Cochin Port,Hamburg Port,699.0,24.9,5.0,0.0,0,27.1,0.0
SEA0614,Sea Freight,2025-05-23,02:20,6.1,86.0,2.2,Fresh,Pharmaceuticals,Vizag Port,Dubai Port,669.5,12.3,27.5,0.0,0,30.7,0.0
SEA0294,Sea Freight,2026-12-08,14:45,9.9,78.6,0.9,Fresh,Fruits,Kandla Port,Hamburg Port,553.6,24.4,10.0,0.0,0,35.4,0.0
SEA0947,Sea Freight,2026-07-02,01:40,11.0,77.9,1.6,Fresh,Fruits,Chennai Port,Los Angeles Port,675.8,24.0,9.9,0.0,0,31.5,0.0
SEA1002,Sea Freight,2026-06-21,19:00,7.0,100.0,1.2,Fresh,Pharmaceuticals,Mumbai Port,Colombo Port,615.8,18.2,26.3,0.0,0,33.2,0.0
SEA0981,Sea Freight,2024-06-12,15:55,4.7,82.8,1.4,At Risk,Flowers,Kandla Port,Felixstowe Port,687.5,34.3,3.9,0.0,0,40.0,0.0
SEA0798,Sea Freight,2026-08-21,20:40,11.0,89.9,2.0,Fresh,Fruits,Kandla Port,Shanghai Port,433.6,23.6,9.7,0.0,0,32.0,0.0
SEA0495,Sea Freight,2024-05-27,00:20,1.9,82.6,1.8,Fresh,Seafood,Chennai Port,Los Angeles Port,414.7,19.3,4.0,0.0,0,37.0,0.0
SEA0127,Sea Freight,2025-09-16,05:45,-0.0,90.8,1.8,Fresh,Meat,Vizag Port,Dubai Port,433.5,8.9,5.8,0.0,0,34.6,0.0
SEA0818,Sea Freight,2025-04-17,20:20,10.5,91.0,1.5,Fresh,Fruits,Vizag Port,Shanghai Port,572.5,21.8,10.3,0.0,0,33.6,0.0
SEA0547,Sea Freight,2024-01-15,02:15,4.7,81.2,2.2,At Risk,Meat,Mundra Port,Hamburg Port,640.3,27.2,5.2,0.0,0,35.7,0.0
SEA0683,Sea Freight,2026-01-04,17:35,4.8,95.1,2.4,Fresh,Vegetables,Kolkata Port,Singapore Port,548.8,15.5,9.8,0.0,0,29.5,0.0
SEA0635,Sea Freight,2024-08-12,09:05,7.7,98.7,1.7,Fresh,Fruits,Vizag Port,Felixstowe Port,512.3,21.4,10.4,0.0,0,35.1,0.0
SEA0307,Sea Freight,2025-09-25,09:00,11.2,99.0,1.7,At Risk,Fruits,Chennai Port,Singapore Port,542.1,26.7,9.9,0.0,0,35.5,0.0
SEA0141,Sea Freight,2026-08-21,05:30,9.1,89.7,2.3,Fresh,Vegetables,Cochin Port,Rotterdam Port,637.6,21.8,9.1,0.0,0,33.7,0.0
SEA0345,Sea Freight,2025-10-02,09:10,13.5,79.1,5.3,Fresh,Fruits,Kandla Port,Los Angeles Port,652.4,23.0,11.2,0.0,0,26.4,0.0
SEA0519,Sea Freight,2025-05-26,00:15,11.3,88.3,1.8,Fresh,Fruits,Chennai Port,Rotterdam Port,669.2,24.9,10.2,0.0,0,29.6,0.0
SEA0071,Sea Freight,2024-07-16,03:20,8.6,92.9,5.2,At Risk,Dairy,Vizag Port,Colombo Port,535.7,25.2,5.9,0.0,0,33.1,0.0
SEA0524,Sea Freight,2025-05-17,10:45,10.1,94.9,1.6,At Risk,Fruits,Kolkata Port,Colombo Port,702.0,31.6,9.6,0.0,0,34.0,0.0
SEA0314,Sea Freight,2024-08-22,00:30,8.9,88.2,0.5,At Risk,Fruits,Kandla Port,Dubai Port,548.9,28.7,9.9,0.0,0,37.7,0.0
SEA0946,Sea Freight,2025-12-08,15:35,5.8,83.1,1.6,Fresh,Dairy,Mumbai Port,Shanghai Port,369.2,22.8,6.1,0.0,0,38.2,0.0
SEA0201,Sea Freight,2024-01-01,22:55,6.2,91.1,1.0,At Risk,Flowers,Mundra Port,Colombo Port,571.6,29.7,4.1,0.0,0,35.5,0.0
SEA0067,Sea Freight,2025-05-20,17:25,2.1,96.4,1.2,Fresh,Seafood,Vizag Port,Colombo Port,457.7,23.4,2.9,0.0,0,31.4,0.0
SEA0717,Sea Freight,2025-03-09,15:25,13.0,92.3,0.6,Fresh,Fruits,Vizag Port,Singapore Port,457.1,22.8,10.5,0.0,0,37.1,0.0
